id,Theme,SetName,USRetailPrice,Pieces,Minifigs,,
75192,Star Wars,Millennium Falcon,849.99,7541,8,,
75313,Star Wars,AT-AT,849.99,6785,9,,
2000430,Serious Play,Identity and Landscape Kit,789.99,2631,6,,
2000431,Serious Play,Connections Kit,754.99,2455,,,
75252,Star Wars,Imperial Star Destroyer,699.99,4784,2,,
42146,Technic,Liebherr Crawler Crane LR 13000,699.99,2883,,,
10294,Icons,Titanic,679.99,9090,,,
75367,Star Wars,Venator-class Republic Attack Cruiser,649.99,5374,2,,
10307,Icons,Eiffel Tower,629.99,10001,,,
75331,Star Wars,The Razor Crest,599.99,6187,4,,
76210,Marvel Super Heroes,Hulkbuster,549.99,4049,1,,
10276,Icons,Colosseum,549.99,9036,,,
42131,Technic,Cat D11 Bulldozer,499.99,3854,,,
10316,Icons,The Lord of the Rings: Rivendell,499.99,6167,21,,
76269,Marvel Super Heroes,Avengers Tower,499.99,5201,32,,
76405,Harry Potter,Hogwarts Express - Collectors' Edition,499.99,5129,20,,
75397,Star Wars,Jabba's Sail Barge,499.99,3942,11,,
75159,Star Wars,Death Star,499.99,4016,27,,
10179,Star Wars,Ultimate Collector's Millennium Falcon,499.99,5197,5,,
2000409,Serious Play,Window Exploration - 100 bags,484.99,4900,,,
2000409,Serious Play,Window Exploration - single bag,484.99,49,,,
71043,Harry Potter,Hogwarts Castle,469.99,6020,28,,
10333,Icons,The Lord of the Rings: Barad-dûr,459.99,5471,11,,
42172,Technic,McLaren P1,449.99,3893,,,
42143,Technic,Ferrari Daytona SP3,449.99,3778,,,
75978,Harry Potter,Diagon Alley,449.99,5544,17,,
42115,Technic,Lamborghini Sián FKP 37,449.99,3696,,,
42100,Technic,Liebherr R 9800,449.99,4108,,,
76417,Harry Potter,Gringotts Wizarding Bank - Collectors' Edition,429.99,4803,13,,
76252,DC Comics Super Heroes,Batcave – Shadow Box,399.99,3981,7,,
43222,Disney,Disney Castle,399.99,4837,8,,
910002,Bricklink,Studgate Train Station,399.99,4076,11,,
10299,Icons,Real Madrid - Santiago Bernabéu Stadium,399.99,5876,,,
10303,Icons,Loop Coaster,399.99,3756,11,,
10305,Icons,Lion Knights' Castle,399.99,4514,22,,
21323,Ideas,Grand Piano,399.99,3662,,,
75290,Star Wars,Mos Eisley Cantina,399.99,3187,21,,
75309,Star Wars,Republic Gunship,399.99,3292,2,,
10221,Star Wars,Super Star Destroyer,399.99,3152,5,,
10188,Star Wars,Death Star,399.99,3803,24,,
45678,Education,SPIKE Prime Set,399.95,528,2,,
10261,Creator Expert,Roller Coaster,379.99,4124,11,,
910029,Bricklink,Mountain Fortress,379.99,3995,9,,
71799,Ninjago,NINJAGO City Markets,369.99,6163,21,,
10256,Creator Expert,Taj Mahal,369.99,5923,,,
51515,Mindstorms,Robot Inventor,359.99,949,,,
21348,Ideas,Dungeons & Dragons: Red Dragon's Tale,359.99,3745,11,,
71741,Ninjago,NINJAGO City Gardens,349.99,5685,22,,
76178,Marvel Super Heroes,Daily Bugle,349.99,3772,25,,
10284,Icons,Camp Nou - FC Barcelona,349.99,5509,,,
76215,Marvel Super Heroes,Black Panther,349.99,2961,,,
75222,Star Wars,Betrayal at Cloud City,349.99,2812,20,,
42083,Technic,Bugatti Chiron,349.99,3599,,,
71040,Disney,Disney Castle,349.99,4080,7,,
75827,Ghostbusters,Firehouse Headquarters ,349.99,4634,10,,
31313,Mindstorms,Mindstorms EV3,349.99,601,,,
76042,Marvel Super Heroes,The SHIELD Helicarrier,349.99,2996,17,,38.97949211
45544,Education,Education EV3 Core Set,339.95,541,,,
71044,Disney,Disney Train and Station,329.99,2925,5,,
42129,Technic,4x4 Mercedes-Benz Zetros Trial Truck,329.99,2110,,,
76294,Marvel Super Heroes,X-Men: The X-Mansion,329.99,3093,,,
21353,Ideas,The Botanical Garden,329.99,3792,12,,
910032,Bricklink,Parisian Street,319.99,3532,7,,
910008,Bricklink,Modular Construction Site,319.99,3371,6,,
10234,Creator Expert,Sydney Opera House,319.99,2989,,,
